Method,Model,Training Data,Shots,Accuracy,Macro-F1,Inference Time Seconds
Fine-Tuning,Qwen/Qwen2.5-0.5B-Instruct,100%,N/A,0.8260869565217391,0.710873970827761,108.94356593499833
ICL,google/gemma-2-2b-it,None,0,0.18115942028985507,0.1589091640556728,258.9233477659982
ICL,google/gemma-2-2b-it,None,1,0.2028985507246377,0.12808162860105504,1131.2798464269981
ICL,google/gemma-2-2b-it,None,3,0.24057971014492754,0.15335745604774573,1457.351723961001
ICL,google/gemma-2-2b-it,None,5,0.24347826086956523,0.15038545890600444,1559.986279607001
ICL,google/gemma-2-2b-it,None,10,0.23478260869565218,0.17320197547901534,1617.5793719520043
